type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
chainsaw	48043ef7e3bc-2015-01-28T14-22-23	48043ef7e3bc	2015-01-28T14:24:40.000Z	1422455080	Wed	3	15	day	2:17	48043ef7e3bc-2015-01-28T14-22-23.wav
chainsaw	48043ef7e3bc-2015-01-28T15-16-29	48043ef7e3bc	2015-01-28T15:20:35.000Z	1422458435	Wed	3	16	day	4:06	48043ef7e3bc-2015-01-28T15-16-29.wav
chainsaw	48043ef7e3bc-2015-01-28T15-16-29	48043ef7e3bc	2015-01-28T15:22:26.000Z	1422458546	Wed	3	16	day	5:57	48043ef7e3bc-2015-01-28T15-16-29.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:22:34.000Z	1422458554	Wed	3	16	day	0:04	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:25:27.000Z	1422458727	Wed	3	16	day	2:57	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:26:41.000Z	1422458801	Wed	3	16	day	4:11	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:26:48.000Z	1422458808	Wed	3	16	day	4:18	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:29:28.000Z	1422458968	Wed	3	16	day	0:57	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:30:36.000Z	1422459036	Wed	3	16	day	2:05	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:33:32.000Z	1422459212	Wed	3	16	day	5:01	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:34:27.000Z	1422459267	Wed	3	16	day	5:56	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-34-32	48043ef7e3bc	2015-01-28T15:34:49.000Z	1422459289	Wed	3	16	day	0:17	48043ef7e3bc-2015-01-28T15-34-32.wav
chainsaw	48043ef7e3bc-2015-01-28T16-04-35	48043ef7e3bc	2015-01-28T16:05:23.000Z	1422461123	Wed	3	17	day	0:48	48043ef7e3bc-2015-01-28T16-04-35.wav
chainsaw	48043ef7e3bc-2015-01-28T16-52-41	48043ef7e3bc	2015-01-28T16:58:07.000Z	1422464287	Wed	3	17	day	5:26	48043ef7e3bc-2015-01-28T16-52-41.wav
chainsaw	48043ef7e3bc-2015-01-28T16-52-41	48043ef7e3bc	2015-01-28T16:58:24.000Z	1422464304	Wed	3	17	day	5:43	48043ef7e3bc-2015-01-28T16-52-41.wav
chainsaw	48043ef7e3bc-2015-01-28T18-16-52	48043ef7e3bc	2015-01-28T18:16:56.000Z	1422469016	Wed	3	19	night	0:04	48043ef7e3bc-2015-01-28T18-16-52.wav
chainsaw	48043ef7e3bc-2015-01-28T19-35-01	48043ef7e3bc	2015-01-28T19:40:26.000Z	1422474026	Wed	3	20	night	5:25	48043ef7e3bc-2015-01-28T19-35-01.wav
chainsaw	48043ef7e3bc-2015-01-28T19-47-02	48043ef7e3bc	2015-01-28T19:47:50.000Z	1422474470	Wed	3	20	night	0:48	48043ef7e3bc-2015-01-28T19-47-02.wav
chainsaw	48043ef7e3bc-2015-01-28T21-11-13	48043ef7e3bc	2015-01-28T21:14:30.000Z	1422479670	Wed	3	22	night	3:17	48043ef7e3bc-2015-01-28T21-11-13.wav
chainsaw	48043ef7e3bc-2015-01-28T22-29-22	48043ef7e3bc	2015-01-28T22:31:57.000Z	1422484317	Wed	3	23	night	2:35	48043ef7e3bc-2015-01-28T22-29-22.wav
